epoch,train_loss,vertices_seen,data_gen_time,train_epoch_time
1,335.203422164917,1000000,3.209019184112549,17.675409078598022
2,75.96526786804199,1000000,3.6360697746276855,17.730353116989136
3,73.3827815246582,1000000,3.5824108123779297,19.845380067825317
4,73.1088784790039,1000000,3.5367238521575928,18.72877788543701
5,73.02470390319824,1000000,4.232938051223755,20.72447419166565
6,73.03623039245605,1000000,3.5681819915771484,19.48355221748352
7,72.8727057647705,1000000,3.5842130184173584,16.82721996307373
8,72.875728225708,1000000,3.530457019805908,15.728445053100586
9,72.80547317504883,1000000,3.249418020248413,16.239499807357788
10,72.9527693939209,1000000,3.4628119468688965,17.816509008407593
11,72.71838928222657,1000000,3.6851205825805664,15.769106149673462
12,72.855112991333,1000000,3.343093156814575,15.444756031036377
13,72.81620056152343,1000000,3.252173900604248,15.411832809448242
14,72.86412322998046,1000000,3.2695460319519043,15.39733624458313
15,72.76347839355469,1000000,3.3255422115325928,16.52717900276184
16,72.59714828491211,1000000,3.246643304824829,15.462724208831787
17,72.69005485534667,1000000,3.210428237915039,15.132832765579224
18,72.73229103088379,1000000,3.2597639560699463,15.564068078994751
19,72.87827667236328,1000000,3.2028748989105225,15.261484146118164
20,72.67742362976074,1000000,3.2234909534454346,15.226076126098633
21,72.73043869018555,1000000,3.2054929733276367,15.438660144805908
22,72.72421211242676,1000000,3.2588329315185547,15.263736009597778
23,72.61952430725097,1000000,3.2166547775268555,15.363457918167114
24,72.72811264038086,1000000,3.2154369354248047,15.260902881622314
25,72.62822380065919,1000000,3.215372085571289,15.494537830352783
26,72.4803311920166,1000000,3.2221391201019287,15.43871283531189
27,72.63446922302246,1000000,3.2205371856689453,15.443072080612183
28,72.5819174194336,1000000,3.1949288845062256,15.335245132446289
29,72.73957748413086,1000000,3.1975722312927246,15.51281213760376
30,72.63142707824707,1000000,3.197538137435913,15.290409088134766
31,72.54760025024414,1000000,3.201313018798828,16.819470643997192
32,72.44848831176758,1000000,4.047956228256226,20.855143070220947
33,72.55634605407715,1000000,3.2310729026794434,15.259803771972656
34,72.74675575256347,1000000,3.199906587600708,15.36894702911377
35,72.51184684753417,1000000,3.2088100910186768,15.54405403137207
36,72.63259010314941,1000000,3.225040912628174,15.273050785064697
37,72.60381553649903,1000000,3.19667911529541,15.132728099822998
38,72.46925758361816,1000000,3.272552967071533,15.353325128555298
39,72.38035667419433,1000000,3.2121379375457764,15.290431261062622
40,72.62753128051757,1000000,3.190124034881592,15.439669132232666
41,72.64309547424317,1000000,3.226567268371582,15.205772161483765
42,72.45431602478027,1000000,3.2112998962402344,15.284178018569946
43,72.44667198181152,1000000,3.192566156387329,15.251518964767456
44,72.59934478759766,1000000,3.22792387008667,15.136870861053467
45,72.58895454406738,1000000,3.260007381439209,15.274853944778442
46,72.81178253173829,1000000,3.2157609462738037,15.231548309326172
47,72.71441619873048,1000000,3.197127103805542,15.226994037628174
48,72.37193244934082,1000000,3.98262882232666,914.256443977356
49,72.38018280029297,1000000,3.3406589031219482,16.399729013442993
50,72.43158821105958,1000000,3.181912899017334,913.7191741466522
51,72.4886589050293,1000000,3.258435010910034,14.911265134811401
52,72.6265658569336,1000000,3.2138679027557373,14.682589769363403
53,72.49557968139648,1000000,3.18415904045105,718.827299118042
54,72.58629333496094,1000000,3.559159994125366,15.245601892471313
55,72.42855979919433,1000000,3.2487258911132812,14.936786890029907
56,72.59806304931641,1000000,3.2362759113311768,15.010488033294678
57,72.5244172668457,1000000,3.308887004852295,15.072815895080566
58,72.67790641784669,1000000,3.2592430114746094,14.974478721618652
59,72.61252487182617,1000000,3.2757492065429688,15.098636627197266
60,72.81816604614258,1000000,3.2535412311553955,14.919433116912842
61,72.49967697143555,1000000,3.6759560108184814,18.953947067260742
62,72.63685585021973,1000000,3.2405149936676025,15.099895000457764
63,72.56464309692383,1000000,3.8783860206604004,16.590238094329834
64,72.57815559387207,1000000,3.4991471767425537,17.26611304283142
65,72.57996627807617,1000000,3.853782892227173,18.429623126983643
66,72.56389511108398,1000000,4.257581949234009,21.52850890159607
67,72.59396430969238,1000000,4.472794771194458,28.255316019058228
68,72.55287994384766,1000000,3.7877981662750244,20.808241844177246
69,72.5365397644043,1000000,4.562154054641724,21.44230008125305
70,72.53169960021972,1000000,3.5991342067718506,19.762552976608276
71,72.73849647521973,1000000,3.6360268592834473,17.54794406890869
72,72.72581634521484,1000000,3.604872941970825,18.200177907943726
73,72.35697685241699,1000000,3.67641019821167,17.550601959228516
74,72.44767303466797,1000000,3.966287136077881,22.886905908584595
75,72.24182067871094,1000000,3.7716329097747803,18.083369970321655
