,Test Error,Test Predict
count,46080.0,46080.0
mean,1.997,20.003
std,6.001,10.927
min,-11.947,0.023
25%,-1.476,11.228
50%,0.246,21.155
75%,4.254,28.691
max,38.821,43.064
